task_id_list	courier_id	score	willingness
T0014	C016	39.091860	0.239141
T0000	C012	23.208460	0.475467
T0027	C017	32.841820	0.284853
T0007	C006	12.934680	0.113211
T0003	C015	36.412920	0.109823
T0011	C055	38.783540	0.275835
T0006	C009	34.678620	0.175446
T0020	C048	9.689940	0.063747
T0004	C035	15.266760	0.169400
T0011	C046	8.277900	0.336246
T0022	C035	22.404040	0.186392
T0020	C039	37.766740	0.081208
T0022	C034	12.497620	0.312791
T0015	C000	34.023440	0.416933
T0014	C001	33.550300	0.348860
T0018	C045	9.241400	0.441587
T0025	C011	22.936220	0.141097
T0015	C023	17.877640	0.186601
T0003	C000	38.434220	0.090434
T0019	C019	17.415980	0.238307
T0019	C030	9.255340	0.206512
T0016	C009	11.449660	0.180242
T0013	C023	16.095780	0.197964
T0028	C035	18.332740	0.462540
T0022	C016	36.748300	0.388995
T0020	C033	10.207360	0.375912
T0002	C037	15.284800	0.373462
T0025	C045	26.063700	0.488185
T0015	C020	10.149960	0.421467
T0002	C014	21.557800	0.252849
T0028	C058	34.203840	0.122489
T0020	C006	19.320020	0.480106
T0025	C050	37.829060	0.192595
T0001	C058	37.223080	0.260251
T0025	C020	36.862280	0.146570
T0020	C021	24.587700	0.114984
T0010	C017	15.132280	0.469525
T0004	C005	24.203120	0.349954
T0023	C048	14.442660	0.226423
T0008	C008	26.540120	0.127702
T0012	C047	24.253140	0.411303
T0012	C057	36.261220	0.444349
T0000	C048	33.553580	0.227882
T0016	C036	25.560220	0.121707
T0008	C026	33.792200	0.089443
T0009	C053	19.061720	0.439502
T0022	C012	26.125200	0.419643
T0000	C003	16.559900	0.482399
T0025	C041	8.569000	0.059681
T0018	C040	31.573280	0.117538
T0024	C023	12.341000	0.469994
T0003	C037	39.020520	0.221784
T0028	C052	40.873720	0.206199
T0017	C052	40.092260	0.331242
T0013	C045	39.749500	0.159497
T0024	C027	22.851760	0.464886
T0023	C015	14.092520	0.202081
T0024	C050	39.782300	0.479689
T0017	C046	33.746280	0.199423
T0003	C048	34.309620	0.264003
T0003	C054	34.002120	0.136927
T0006	C010	14.466440	0.385867
T0006	C044	20.460640	0.368667
T0010	C044	39.256680	0.207711
T0013	C052	40.397300	0.198328
T0010	C002	10.417280	0.131037
T0008	C013	14.536140	0.066978
T0005	C004	35.117320	0.176176
T0024	C057	17.379080	0.396083
T0029	C047	13.334840	0.091059
T0026	C056	24.712340	0.249409
T0020	C007	21.308520	0.303982
T0026	C031	31.119000	0.222878
T0003	C051	13.737460	0.452533
T0000	C008	28.973060	0.432205
T0016	C058	20.843580	0.233668
T0017	C012	30.008720	0.078185
T0017	C045	15.579180	0.358138
T0008	C051	18.016220	0.072972
T0017	C039	29.037840	0.262544
T0018	C000	37.479740	0.210786
T0001	C050	15.918660	0.088870
T0004	C008	30.839380	0.437886
T0020	C056	38.964760	0.181388
T0028	C013	31.332200	0.072555
T0004	C018	15.658720	0.095750
T0010	C056	30.841840	0.387327
T0007	C037	13.414380	0.375391
T0026	C002	11.870320	0.431423
T0020	C037	23.367540	0.293609
T0029	C055	14.167140	0.078550
T0002	C011	25.517580	0.092935
T0002	C056	33.651160	0.441274
T0009	C010	9.000320	0.447320
T0024	C048	14.554180	0.454149
T0022	C054	26.964880	0.274011
T0003	C016	40.466180	0.406300
T0004	C030	16.536940	0.264733
T0006	C037	21.454480	0.088140
T0005	C000	24.302340	0.149645
T0011	C043	37.419880	0.426315
T0018	C011	14.966640	0.155483
T0026	C052	15.368440	0.121499
T0011	C017	31.649540	0.169348
T0018	C025	8.417300	0.137396
T0013	C009	34.548240	0.452012
T0005	C011	25.446240	0.153867
T0015	C031	30.970580	0.421103
T0017	C017	29.008320	0.188425
T0018	C017	19.944860	0.359076
T0024	C029	35.699520	0.254726
T0013	C038	12.717380	0.066144
T0026	C005	9.897400	0.232521
T0011	C006	36.443260	0.117225
T0025	C030	36.207100	0.323893
T0007	C002	14.819040	0.314980
T0000	C011	15.402880	0.379039
T0021	C026	34.608100	0.352248
T0000	C054	25.702080	0.224181
T0002	C055	11.601360	0.421311
T0014	C012	33.012380	0.237004
T0021	C056	39.757700	0.162259
T0004	C025	35.722480	0.295173
T0009	C016	14.626340	0.155640
T0000	C049	19.407760	0.334578
T0012	C024	23.786560	0.416307
T0010	C011	22.595100	0.175968
T0005	C027	23.722600	0.097210
T0013	C059	29.188720	0.422666
T0018	C020	31.519160	0.404944
T0024	C047	28.901720	0.058586
T0015	C054	26.937820	0.236430
T0008	C034	38.193140	0.268799
T0023	C021	29.495400	0.077716
T0012	C028	22.226920	0.285895
T0014	C026	21.994860	0.140889
T0005	C003	10.619000	0.295121
T0010	C039	18.522980	0.229498
T0027	C028	25.014920	0.262283
T0006	C051	8.963420	0.203489
T0024	C008	38.110320	0.187591
T0018	C013	39.332940	0.381280
T0028	C042	32.385080	0.413701
T0018	C046	18.645160	0.268955
T0018	C044	28.644240	0.424386
T0012	C045	13.552960	0.222514
T0025	C043	14.578780	0.386701
T0026	C016	13.989200	0.140003
T0013	C007	29.021440	0.396917
T0017	C042	36.964780	0.455452
T0023	C023	39.666680	0.064789
T0004	C020	30.435120	0.273438
T0021	C038	33.387940	0.305076
T0009	C045	27.815220	0.246073
T0023	C012	25.711100	0.437417
T0018	C034	29.376500	0.123897
T0002	C031	14.755080	0.206564
T0026	C021	36.749940	0.075631
T0011	C030	33.364980	0.367989
T0017	C032	10.760040	0.152877
T0015	C024	19.611120	0.145580
T0022	C037	33.917660	0.112951
T0011	C042	18.997760	0.375547
T0000	C036	27.742240	0.297102
T0016	C017	30.873820	0.126190
T0000	C058	23.223220	0.236013
T0019	C032	39.342780	0.130047
T0027	C006	37.583880	0.176749
T0000	C035	17.452880	0.471870
T0021	C024	13.630040	0.182744
T0008	C019	18.691080	0.053635
T0004	C032	38.372720	0.263430
T0011	C003	32.181720	0.459882
T0011	C025	32.722920	0.293505
T0006	C005	15.635760	0.409166
T0015	C015	35.260000	0.358190
T0015	C042	18.281900	0.292254
T0019	C058	29.423240	0.347400
T0023	C027	20.683680	0.239141
T0017	C018	11.662040	0.144537
T0020	C043	17.752180	0.270363
T0013	C048	16.099880	0.335308
T0007	C004	34.858200	0.436322
T0012	C011	35.278860	0.344012
T0029	C015	20.623000	0.153555
T0009	C020	32.101360	0.268955
T0009	C051	39.795420	0.354646
T0023	C033	37.115660	0.167524
T0022	C009	31.693820	0.193220
T0023	C034	15.093740	0.362881
T0023	C002	33.633940	0.293766
T0015	C012	18.946100	0.424491
T0008	C029	23.642240	0.085742
T0025	C033	32.497420	0.244874
T0020	C003	20.537720	0.215685
T0006	C013	26.348240	0.218396
T0019	C040	39.406740	0.251598
T0018	C018	20.673020	0.241851
T0020	C028	8.776460	0.280527
T0011	C028	15.511940	0.426263
T0008	C030	25.270760	0.293453
T0023	C055	15.403700	0.256602
T0019	C027	24.810740	0.150427
T0027	C021	15.953920	0.165126
T0012	C035	38.385840	0.222305
T0001	C013	20.126900	0.384512
T0006	C058	38.184120	0.370804
T0012	C059	18.450820	0.450813
T0007	C030	35.718380	0.155431
T0024	C016	9.419340	0.200987
T0017	C024	26.831220	0.205834
T0026	C012	38.368620	0.084700
T0006	C027	37.439560	0.236691
T0017	C010	31.464220	0.241799
T0012	C021	20.444240	0.183630
T0028	C044	14.168780	0.442890
T0004	C051	25.527420	0.291941
T0002	C033	14.837080	0.056241
T0003	C055	9.402120	0.272812
T0001	C031	13.782560	0.385242
T0018	C008	10.987180	0.190562
T0026	C003	37.520740	0.357147
T0006	C048	15.902260	0.382219
T0021	C041	38.643320	0.150010
T0019	C038	26.592600	0.413232
T0028	C032	19.001040	0.375912
T0022	C036	11.840800	0.325665
T0003	C019	13.086380	0.424178
T0009	C055	16.418860	0.452689
T0018	C023	37.652760	0.404840
T0008	C020	26.663120	0.443098
T0010	C009	38.307940	0.203124
T0029	C014	8.441900	0.267339
T0021	C011	13.197900	0.125148
T0008	C003	11.411120	0.303982
