task_id_list	courier_id	score	willingness
T0018,T0020	C037	57.320000	0.088156
T0008,T0028	C057	77.310000	0.156844
T0005,T0018	C035	60.969000	0.033688
T0003,T0022	C037	73.222000	0.019344
T0000,T0029	C047	50.599000	0.036344
T0014	C016	47.673000	0.143375
T0022,T0025	C036	37.441000	0.034031
T0012,T0018	C030	30.178000	0.067125
T0021,T0028	C015	81.764000	0.160031
T0021,T0024	C054	53.204000	0.175937
T0019,T0020	C039	100.000000	0.007062
T0006,T0020	C048	36.969000	0.021844
T0015,T0023	C056	75.834000	0.173156
T0007,T0018	C045	40.549000	0.028000
T0003,T0015	C016	61.632000	0.108406
T0006,T0007	C001	49.105000	0.046250
T0004,T0017	C053	42.113000	0.256781
T0005,T0014	C000	76.404000	0.072531
T0012,T0021	C050	77.587000	0.202687
T0001,T0028	C018	71.520000	0.183375
T0005,T0008	C016	43.351000	0.018656
T0013,T0014	C002	68.575000	0.008563
T0000,T0029	C022	77.168000	0.042406
T0004,T0026	C034	57.852000	0.227500
T0009,T0018	C028	64.273000	0.064812
T0007,T0010	C056	57.234000	0.026500
T0000,T0027	C048	100.000000	0.103219
T0019,T0027	C033	79.110000	0.116562
T0020,T0027	C037	76.498000	0.090781
T0004,T0015	C056	71.217000	0.125219
T0008,T0022	C002	43.875000	0.056156
T0008,T0018	C019	55.005000	0.032625
T0013,T0015	C052	75.670000	0.111156
T0002,T0023	C029	80.606000	0.098344
T0008,T0029	C025	31.029000	0.095937
T0000	C012	28.303000	0.285062
T0027	C017	40.051000	0.170781
T0015,T0020	C030	100.000000	0.127062
T0024,T0027	C013	34.010000	0.082844
T0007,T0012	C013	52.507000	0.059812
T0005,T0015	C057	50.932000	0.017969
T0009,T0015	C013	64.958000	0.097969
T0015,T0022	C046	46.636000	0.191063
T0000,T0020	C028	28.440000	0.084844
T0003,T0005	C001	36.413000	0.076344
T0007	C006	15.774000	0.067875
T0007,T0019	C030	45.427000	0.028594
T0002,T0006	C033	27.807000	0.003125
T0003	C015	44.406000	0.065844
T0009,T0026	C017	74.202000	0.067562
T0013,T0017	C043	66.761000	0.039281
T0005,T0015	C004	58.645000	0.074656
T0016,T0018	C059	60.946000	0.247312
T0002,T0004	C005	64.604000	0.083281
T0001,T0008	C026	57.447000	0.021844
T0005,T0026	C025	46.457000	0.249562
T0021,T0026	C052	55.797000	0.015906
T0004,T0006	C026	31.354000	0.070531
T0000,T0010	C006	49.211000	0.191156
T0015,T0025	C047	67.459000	0.066062
T0022,T0025	C041	23.815000	0.039406
T0011,T0021	C004	27.378000	0.018687
T0007,T0028	C046	51.322000	0.052594
T0005,T0014	C028	76.716000	0.055875
T0015,T0026	C025	63.045000	0.117656
T0000,T0015	C046	69.956000	0.158406
T0005,T0015	C003	20.617000	0.075750
T0008,T0013	C025	50.569000	0.112187
