task_id_list	courier_id	total_score	willingness
T0018,T0020	C037	57.32	0.2821
T0008,T0028	C057	77.31	0.5019
T0005,T0018	C035	60.969	0.1078
T0003,T0022	C037	73.222	0.0619
T0000,T0029	C047	50.599	0.1163
T0014	C016	47.673	0.4588
T0022,T0025	C036	37.441	0.1089
T0012,T0018	C030	30.178	0.2148
T0021,T0028	C015	81.764	0.5121
T0021,T0024	C054	53.204	0.563
T0019,T0020	C039	100.0	0.0226
T0006,T0020	C048	36.969	0.0699
T0015,T0023	C056	75.834	0.5541
T0007,T0018	C045	40.549	0.0896
T0003,T0015	C016	61.632	0.3469
T0006,T0007	C001	49.105	0.148
T0004,T0017	C053	42.113	0.8217
T0005,T0014	C000	76.404	0.2321
T0012,T0021	C050	77.587	0.6486
T0001,T0028	C018	71.52	0.5868
T0005,T0008	C016	43.351	0.0597
T0013,T0014	C002	68.575	0.0274
T0000,T0029	C022	77.168	0.1357
T0004,T0026	C034	57.852	0.728
T0009,T0018	C028	64.273	0.2074
T0007,T0010	C056	57.234	0.0848
T0000,T0027	C048	100.0	0.3303
T0019,T0027	C033	79.11	0.373
T0020,T0027	C037	76.498	0.2905
T0004,T0015	C056	71.217	0.4007
T0008,T0022	C002	43.875	0.1797
T0008,T0018	C019	55.005	0.1044
T0013,T0015	C052	75.67	0.3557
T0002,T0023	C029	80.606	0.3147
T0008,T0029	C025	31.029	0.307
T0000	C012	28.303	0.9122
T0027	C017	40.051	0.5465
T0015,T0020	C030	100.0	0.4066
T0024,T0027	C013	34.01	0.2651
T0007,T0012	C013	52.507	0.1914
T0005,T0015	C057	50.932	0.0575
T0009,T0015	C013	64.958	0.3135
T0015,T0022	C046	46.636	0.6114
T0000,T0020	C028	28.44	0.2715
T0003,T0005	C001	36.413	0.2443
T0007	C006	15.774	0.2172
T0007,T0019	C030	45.427	0.0915
T0002,T0006	C033	27.807	0.01
T0003	C015	44.406	0.2107
T0009,T0026	C017	74.202	0.2162
T0013,T0017	C043	66.761	0.1257
T0005,T0015	C004	58.645	0.2389
T0016,T0018	C059	60.946	0.7914
T0002,T0004	C005	64.604	0.2665
T0001,T0008	C026	57.447	0.0699
T0005,T0026	C025	46.457	0.7986
T0021,T0026	C052	55.797	0.0509
T0004,T0006	C026	31.354	0.2257
T0000,T0010	C006	49.211	0.6117
T0015,T0025	C047	67.459	0.2114
T0022,T0025	C041	23.815	0.1261
T0011,T0021	C004	27.378	0.0598
T0007,T0028	C046	51.322	0.1683
T0005,T0014	C028	76.716	0.1788
T0015,T0026	C025	63.045	0.3765
T0000,T0015	C046	69.956	0.5069
T0005,T0015	C003	20.617	0.2424
T0008,T0013	C025	50.569	0.359
T0011,T0015	C013	72.516	0.1332
T0022,T0023	C030	88.785	0.2131
T0026,T0027	C010	60.822	0.1283
T0003,T0017	C033	47.214	0.1155
T0005,T0016	C024	57.081	0.0855
T0019,T0026	C004	29.998	0.1554
T0008,T0027	C038	39.41	0.4677
T0006,T0022	C030	61.803	0.2901
T0011	C055	47.297	0.5292
T0011,T0012	C003	93.833	0.5721
T0016,T0019	C058	58.945	0.3008
T0017,T0023	C049	60.118	0.052
T0004,T0028	C000	80.495	0.1437
T0001,T0007	C043	80.588	0.1055
T0005,T0017	C050	74.68	0.1945
T0006,T0028	C052	78.12	0.3091
T0006,T0013	C037	52.634	0.2062
T0012,T0029	C029	53.261	0.2121
T0006,T0023	C012	84.214	0.2687
T0011,T0013	C047	50.537	0.5277
T0003,T0028	C059	44.541	0.0831
T0002,T0007	C005	52.804	0.2448
T0021,T0028	C022	70.431	0.3883
T0006,T0027	C027	100.0	0.4172
T0015,T0022	C037	70.055	0.0878
T0024,T0029	C012	31.697	0.0385
T0007,T0014	C002	43.089	0.1216
T0005,T0022	C050	50.379	0.2472
T0010,T0021	C026	51.4	0.4057
T0006,T0009	C020	63.279	0.0713
T0015,T0019	C047	58.917	0.0472
T0013,T0016	C048	64.496	0.5229
T0000,T0021	C017	65.938	0.0892
T0013,T0023	C035	43.187	0.7212
T0011,T0027	C037	66.191	0.5005
T0002,T0003	C056	98.791	0.7389
T0000,T0020	C037	52.684	0.4857
T0011,T0019	C030	54.121	0.2724
T0006	C009	42.291	0.3366
T0015,T0019	C057	76.83	0.1414
T0008,T0015	C024	77.746	0.081
T0006,T0018	C051	63.46	0.3445
T0021,T0029	C022	83.776	0.4056
T0016,T0017	C017	76.733	0.1113
T0012,T0026	C018	97.916	0.1317
T0020,T0021	C026	67.164	0.5174
T0011,T0017	C006	100.0	0.01
T0015,T0018	C024	63.086	0.2266
T0001,T0004	C052	93.257	0.1154
T0020	C048	11.817	0.1223
T0016,T0025	C001	88.638	0.2323
T0004,T0005	C013	84.897	0.1253
T0008,T0018	C005	54.786	0.6635
T0022,T0023	C045	26.736	0.163
T0011,T0028	C003	80.56	0.29
T0000,T0023	C009	52.971	0.7344
T0012,T0014	C052	48.675	0.2253
T0025,T0029	C005	64.793	0.2848
T0004	C035	18.618	0.325
T0008,T0024	C029	82.636	0.0709
T0002,T0015	C025	50.395	0.3128
T0017,T0027	C026	57.89	0.479
T0003,T0028	C054	85.674	0.0939
T0007,T0017	C044	53.67	0.1268
T0001,T0029	C020	89.805	0.0166
T0002,T0011	C026	57.862	0.4805
T0020,T0025	C033	59.253	0.3002
T0011	C046	10.095	0.6451
T0022	C035	27.322	0.3576
T0020	C039	46.057	0.1558
T0025,T0026	C038	65.367	0.1719
T0010,T0024	C021	85.597	0.1239
T0003,T0028	C037	78.635	0.1323
T0005,T0014	C030	46.284	0.0792
T0010,T0018	C055	30.912	0.2447
T0022	C034	15.241	0.6001
T0021,T0023	C058	100.0	0.0828
T0015	C000	41.492	0.7999
T0012,T0021	C018	56.102	0.0684
T0011,T0012	C018	60.18	0.2472
T0023,T0029	C016	67.408	0.0802
T0000,T0020	C033	32.429	0.5434
T0005,T0012	C009	46.304	0.4723
T0018,T0024	C056	35.14	0.1836
T0018,T0025	C057	54.714	0.3247
T0003,T0010	C006	63.354	0.2263
T0014	C001	40.915	0.6693
T0009,T0010	C047	100.0	0.3726
T0003,T0008	C052	39.768	0.3965
T0000,T0016	C029	75.065	0.6994
T0020,T0022	C040	48.648	0.4667
T0005,T0025	C034	74.14	0.5316
T0010,T0016	C028	70.114	0.01
T0010,T0024	C036	68.618	0.1198
T0018,T0022	C017	38.351	0.1102
T0010,T0026	C054	43.28	0.2049
T0011,T0026	C050	46.726	0.0965
T0018	C045	11.27	0.8472
T0012,T0023	C023	57.977	0.1175
T0006,T0023	C038	67.143	0.6213
T0022,T0024	C038	32.212	0.2156
T0005,T0029	C051	40.715	0.1356
T0019,T0024	C028	67.89	0.2716
T0011,T0025	C027	61.325	0.5728
T0009,T0026	C010	34.096	0.2741
T0006,T0027	C014	54.028	0.3819
T0015,T0024	C008	74.993	0.3252
T0008,T0022	C018	63.425	0.3608
T0002,T0025	C036	50.013	0.0766
T0011,T0022	C024	51.614	0.0127
T0000,T0016	C018	70.639	0.2627
T0002,T0007	C054	68.789	0.3151
T0025	C011	27.971	0.2707
T0002,T0013	C051	53.725	0.1471
T0015	C023	21.802	0.358
T0003,T0012	C052	37.132	0.3783
T0011,T0027	C041	48.132	0.152
T0014,T0028	C002	69.448	0.15
T0004,T0015	C049	51.502	0.1793
T0002,T0013	C020	82.662	0.2091
T0012,T0029	C024	76.842	0.5174
T0001,T0008	C022	39.671	0.111
T0009,T0020	C018	59.865	0.4436
T0005,T0007	C005	54.633	0.1274
T0011,T0023	C027	47.172	0.3252
T0011,T0026	C020	33.67	0.7241
T0015,T0024	C015	78.71	0.3249
T0000,T0001	C055	50.585	0.4634
T0013,T0027	C009	70.581	0.1216
T0002,T0029	C050	21.147	0.2715
T0003,T0005	C008	61.891	0.3092
T0003	C000	46.871	0.1735
T0010,T0013	C021	63.501	0.074
T0010,T0018	C005	54.887	0.7813
T0019	C019	21.239	0.4572
T0019	C030	11.287	0.3962
T0001,T0024	C045	58.938	0.4497
T0005,T0014	C004	74.361	0.2926
T0017,T0027	C055	66.34	0.1202
T0022,T0023	C040	85.945	0.0901
T0010,T0016	C040	63.993	0.3412
T0020,T0028	C027	73.164	0.0694
T0003,T0024	C031	33.514	0.6155
T0005,T0017	C009	39.418	0.2223
T0005,T0008	C006	80.593	0.1085
T0016	C009	13.963	0.3458
T0007,T0017	C005	86.496	0.185
T0007,T0022	C040	57.196	0.4417
T0019,T0023	C002	69.607	0.4054
T0022,T0023	C055	38.274	0.4156
T0005,T0028	C016	55.838	0.1372
T0013	C023	19.629	0.3798
T0015,T0026	C004	33.888	0.1275
T0010,T0020	C045	72.527	0.7664
T0006,T0015	C034	70.359	0.2127
T0006,T0028	C057	81.23	0.6809
T0011,T0025	C032	47.944	0.093
T0000,T0016	C031	58.162	0.1137
T0015,T0021	C022	91.528	0.3449
T0000,T0008	C010	78.825	0.6606
T0010,T0022	C043	57.015	0.2283
T0011,T0017	C021	60.263	0.16
T0007,T0022	C049	63.119	0.1766
T0016,T0023	C020	71.372	0.5455
T0003,T0014	C016	100.0	0.325
T0006,T0015	C012	73.058	0.2278
T0020,T0023	C027	50.858	0.1498
T0008,T0018	C037	77.535	0.4188
T0028	C035	22.357	0.8874
T0022	C016	44.815	0.7463
T0001,T0016	C005	75.157	0.0981
T0003,T0013	C010	36.348	0.4227
T0004,T0017	C043	28.746	0.4383
T0010,T0025	C011	54.012	0.101
T0020	C033	12.448	0.7212
T0013,T0014	C020	57.874	0.1131
T0014,T0025	C021	44.507	0.01
T0001,T0007	C045	44.518	0.0819
T0002,T0019	C027	68.91	0.271
T0005,T0024	C002	38.009	0.136
T0012,T0028	C017	63.594	0.8158
T0006,T0009	C011	69.38	0.2812
T0003,T0020	C000	88.167	0.01
T0009,T0018	C021	66.956	0.2428
T0006,T0025	C043	30.711	0.1816
T0013,T0017	C023	64.807	0.2618
T0010,T0015	C005	48.884	0.5248
T0002	C037	18.64	0.7165
T0019,T0025	C045	58.639	0.478
T0005,T0016	C036	55.559	0.0941
T0010,T0021	C009	81.497	0.3413
T0009,T0027	C048	77.279	0.1408
T0000,T0023	C018	100.0	0.0753
T0015,T0029	C004	67.403	0.4293
T0010,T0016	C025	66.345	0.3245
T0006,T0029	C017	75.545	0.1103
T0020,T0024	C006	39.017	0.7462
T0008,T0024	C043	64.419	0.7901
T0006,T0011	C012	92.528	0.0587
T0010,T0013	C013	73.448	0.2047
T0011,T0023	C006	64.249	0.0503
T0002,T0010	C010	62.836	0.3164
T0015,T0017	C053	39.38	0.5286
T0025	C045	31.785	0.9366
T0002,T0011	C044	66.003	0.1224
T0009,T0027	C037	59.455	0.3799
T0004,T0008	C029	63.112	0.1003
T0002,T0020	C025	74.308	0.2565
T0005,T0024	C049	53.694	0.3446
T0012,T0027	C026	44.017	0.5381
T0000,T0006	C035	61.136	0.6662
T0018,T0026	C023	54.695	0.4863
T0007,T0025	C003	85.9	0.7948
T0005,T0026	C046	50.428	0.0503
T0000,T0013	C022	48.587	0.0875
T0009,T0027	C033	75.404	0.1312
T0003,T0025	C032	71.929	0.0181
T0000,T0017	C004	49.553	0.4906
T0020,T0021	C059	51.73	0.2933
T0003,T0015	C035	43.081	0.3136
T0002,T0020	C026	48.077	0.376
T0015,T0029	C050	27.553	0.0732
T0011,T0024	C034	59.43	0.1606
T0013,T0027	C039	73.209	0.8052
T0004,T0019	C012	39.089	0.123
T0001,T0002	C046	64.763	0.0595
T0014,T0023	C030	55.273	0.1266
T0006,T0022	C002	61.983	0.2204
T0000,T0021	C038	74.221	0.1777
T0015	C020	12.378	0.8086
T0001,T0002	C001	44.73	0.4827
T0018,T0019	C050	24.099	0.1005
T0003,T0014	C025	67.879	0.0717
T0022,T0023	C023	75.673	0.0341
T0002	C014	26.29	0.4851
T0028	C058	41.712	0.235
T0020	C006	23.561	0.9211
T0019,T0029	C045	52.891	0.1548
T0002,T0028	C043	37.538	0.01
T0025	C050	46.133	0.3695
T0000,T0012	C042	90.28	0.4981
T0014,T0024	C004	52.682	0.4776
T0007,T0008	C025	40.718	0.2485
T0013,T0024	C019	49.182	0.2618
T0013,T0023	C052	78.99	0.3505
T0001	C058	45.394	0.4993
T0006,T0022	C023	100.0	0.2208
T0008,T0022	C000	80.069	0.1004
T0010,T0026	C000	46.494	0.5768
T0004,T0029	C002	68.589	0.4235
T0022,T0026	C045	47.48	0.01
T0003,T0022	C053	52.919	0.0988
T0005,T0025	C024	63.045	0.0568
T0006,T0015	C040	30.382	0.2214
T0009,T0011	C036	85.197	0.1467
T0025	C020	44.954	0.2812
T0020	C021	29.985	0.2206
T0016,T0019	C026	38.264	0.5748
T0017,T0024	C007	27.067	0.257
T0006,T0013	C034	76.838	0.5702
T0001,T0014	C016	63.52	0.4387
T0007,T0015	C000	58.346	0.1809
T0015,T0028	C018	78.088	0.3787
T0014,T0025	C037	69.13	0.6787
T0019,T0029	C038	42.635	0.1434
T0001,T0010	C006	61.523	0.3642
T0003,T0006	C013	53.089	0.2534
T0014,T0028	C026	68.304	0.2662
T0023,T0029	C024	70.947	0.4684
T0010	C017	18.454	0.9008
T0002,T0020	C046	42.473	0.2222
T0004,T0020	C036	52.879	0.2039
T0025,T0029	C009	46.536	0.3508
T0017,T0026	C047	88.031	0.1679
T0006,T0026	C049	67.672	0.0271
T0004	C005	29.516	0.6714
T0023	C048	17.613	0.4344
T0021,T0023	C043	27.51	0.1739
T0016,T0019	C056	94.718	0.5585
T0000,T0013	C004	46.118	0.7895
T0020,T0023	C036	40.66	0.3831
T0004,T0011	C023	84.145	0.2085
T0015,T0016	C049	33.722	0.5385
T0003,T0023	C025	85.419	0.1124
T0001,T0028	C020	60.678	0.1939
T0014,T0027	C038	40.736	0.6059
T0008	C008	32.366	0.245
T0011,T0023	C010	57.281	0.3893
T0018,T0025	C037	65.135	0.3545
T0008,T0017	C020	47.198	0.7191
T0002,T0017	C021	74.29	0.4361
T0018,T0027	C038	34.098	0.1208
T0012,T0018	C011	61.895	0.1685
T0016,T0021	C014	44.703	0.5362
T0004,T0023	C024	55.481	0.7398
T0005,T0019	C039	75.188	0.0845
T0003,T0029	C044	54.765	0.0987
T0000,T0011	C021	59.105	0.1544
T0012	C047	29.577	0.7891
T0000,T0016	C036	55.844	0.1683
T0004,T0018	C037	36.118	0.147
T0026,T0027	C016	40.288	0.1446
T0009,T0011	C023	91.425	0.3837
T0006,T0008	C001	39.573	0.1614
T0001,T0016	C031	50.05	0.3625
T0005,T0018	C011	49.348	0.043
T0003,T0005	C003	36.605	0.2754
T0010,T0011	C011	84.579	0.0545
T0001,T0013	C010	31.105	0.3417
T0013,T0028	C006	55.135	0.2438
T0012,T0018	C049	48.792	0.0357
T0000,T0022	C052	74.555	0.2762
T0017,T0018	C027	55.432	0.3746
T0012,T0020	C027	59.39	0.1386
T0008,T0024	C027	34.923	0.3082
T0009,T0026	C018	59.814	0.2665
T0012,T0017	C036	75.462	0.2899
T0015,T0022	C054	57.734	0.2124
T0020,T0023	C035	84.422	0.1696
T0020,T0026	C028	28.224	0.2207
T0004,T0024	C046	58.242	0.5528
T0003,T0004	C013	54.151	0.17
T0018,T0025	C052	63.863	0.4208
T0004,T0021	C037	63.495	0.1168
T0004,T0025	C028	49.467	0.3458
T0017,T0021	C018	41.172	0.1022
T0007,T0012	C028	60.876	0.4945
T0008,T0019	C037	86.327	0.6448
T0020,T0026	C012	84.245	0.1005
T0006,T0013	C026	37.677	0.0329
T0008,T0012	C018	98.704	0.2323
T0011,T0027	C023	85.055	0.5492
T0001,T0003	C005	58.98	0.4135
T0024,T0025	C011	58.51	0.0802
T0012	C057	44.221	0.8525
T0003,T0009	C010	40.917	0.5117
T0023,T0027	C007	26.364	0.1193
T0000,T0015	C048	53.467	0.1919
T0000	C048	40.919	0.4372
T0016	C036	31.171	0.2335
T0004,T0027	C014	46.444	0.2779
T0023,T0028	C001	26.208	0.1132
T0008,T0017	C046	60.789	0.3899
T0014,T0018	C025	28.774	0.013
T0014,T0020	C039	63.409	0.1522
T0018,T0019	C035	78.528	0.1796
T0015,T0022	C045	36.236	0.0402
T0004,T0022	C038	37.908	0.0613
T0006,T0020	C003	56.92	0.2214
T0000,T0027	C059	43.099	0.57
T0001,T0002	C005	71.844	0.3437
T0010,T0012	C038	100.0	0.0733
T0026,T0028	C036	52.923	0.252
T0015,T0025	C040	73.19	0.6289
T0004,T0024	C055	65.985	0.1756
T0026,T0029	C059	69.551	0.1684
T0008	C026	41.21	0.1716
T0000,T0017	C026	54.945	0.1538
T0010,T0023	C031	37.116	0.1088
T0009	C053	23.246	0.8432
T0000,T0001	C048	63.182	0.0676
T0019,T0022	C017	41.957	0.0937
T0009,T0010	C010	47.104	0.597
T0000,T0028	C026	93.85	0.3146
T0003,T0012	C023	61.211	0.1672
T0008,T0013	C055	43.972	0.083
T0004,T0007	C031	40.311	0.1938
T0005,T0007	C028	67.462	0.2683
T0002,T0023	C058	74.379	0.6491
T0003,T0027	C046	41.94	0.5918
T0017,T0022	C046	64.512	0.2445
T0022	C012	31.86	0.8051
T0003,T0026	C022	48.052	0.0348
T0000,T0009	C040	65.515	0.1344
T0016,T0023	C054	72.649	0.1999
T0020,T0029	C051	28.274	0.0967
T0022,T0024	C048	65.716	0.4641
T0007,T0025	C044	86.179	0.4049
T0001,T0007	C032	54.617	0.0129
T0000	C003	20.195	0.9255
T0025	C041	10.45	0.1145
T0007,T0008	C008	74.39	0.2156
T0019,T0022	C040	79.979	0.2157
T0002,T0017	C037	46.663	0.3319
T0000,T0011	C009	40.955	0.7786
T0004,T0014	C013	59.216	0.1145
T0008,T0028	C036	68.519	0.0758
T0017,T0029	C050	67.44	0.3026
T0013,T0018	C020	65.728	0.2808
T0005,T0019	C037	63.34	0.3162
T0015,T0027	C055	36.615	0.01
T0000,T0017	C002	52.142	0.3295
T0010,T0025	C041	24.627	0.0258
T0018	C040	38.504	0.2255
T0012,T0014	C040	53.576	0.2556
T0020,T0021	C046	54.443	0.3797
T0013,T0014	C013	54.875	0.0629
T0006,T0010	C019	91.094	0.3184
T0006,T0015	C033	37.204	0.0488
T0024	C023	15.05	0.9017
T0003,T0017	C042	65.092	0.5859
T0011,T0028	C042	64.953	0.5423
T0000,T0028	C009	47.905	0.1985
T0011,T0025	C008	49.013	0.5396
T0007,T0016	C052	27.254	0.3414
T0003	C037	47.586	0.4255
T0005,T0008	C011	64.261	0.2365
T0028	C052	49.846	0.3956
T0017,T0023	C035	78.61	0.6115
T0008,T0026	C042	72.904	0.4038
T0003,T0025	C047	66.019	0.2723
T0017	C052	48.893	0.6355
T0000,T0001	C009	26.805	0.7232
T0020,T0022	C047	48.351	0.106
T0012,T0020	C040	35.499	0.4107
T0013	C045	48.475	0.306
T0008,T0020	C009	30.518	0.5798
T0010,T0023	C039	49.439	0.3434
T0000,T0026	C004	30.147	0.2591
T0022,T0028	C010	56.58	0.421
T0000,T0027	C007	67.717	0.3557
T0010,T0026	C055	68.305	0.5742
T0012,T0014	C048	69.445	0.2257
T0002,T0024	C004	46.136	0.1202
T0024	C027	27.868	0.8919
T0011,T0027	C020	43.557	0.6391
T0002,T0023	C050	58.176	0.1113
T0000,T0009	C001	44.546	0.2724
T0023	C015	17.186	0.3877
T0000,T0006	C055	39.078	0.3078
T0003,T0020	C014	77.887	0.8216
T0004,T0019	C054	93.796	0.1813
T0024	C050	48.515	0.9203
T0004,T0008	C016	40.35	0.0527
T0012,T0021	C006	52.897	0.0245
T0001,T0018	C013	72.53	0.5373
T0018,T0022	C029	55.608	0.1111
T0014,T0020	C008	67.572	0.079
T0017	C046	41.154	0.3826
T0002,T0007	C040	44.112	0.6029
T0012,T0026	C016	28.778	0.0302
T0009,T0028	C033	66.044	0.1307
T0009,T0021	C041	68.442	0.0777
T0004,T0026	C041	63.526	0.1274
T0005,T0018	C050	51.26	0.1372
T0004,T0021	C015	61.267	0.0869
T0008,T0016	C014	55.454	0.3792
T0009,T0010	C042	100.0	0.6702
T0016,T0025	C050	64.066	0.1524
T0005,T0017	C017	58.769	0.1021
T0008,T0011	C030	71.764	0.4243
T0001,T0005	C008	83.233	0.3374
T0013,T0016	C015	76.78	0.3188
T0002,T0021	C015	61.225	0.555
T0009,T0026	C044	54.611	0.1838
T0010,T0028	C022	40.816	0.16
T0002,T0029	C013	81.139	0.0351
T0003,T0023	C054	80.037	0.1789
T0000,T0025	C058	56.511	0.235
T0000,T0010	C056	50.561	0.2163
T0017,T0028	C040	78.186	0.4604
T0026,T0029	C010	43.189	0.2689
T0003,T0021	C014	53.308	0.7816
T0000,T0029	C032	67.558	0.1298
T0003	C048	41.841	0.5065
T0003,T0011	C024	70.007	0.1972
T0003	C054	41.466	0.2627
T0008,T0018	C059	70.326	0.7803
T0017,T0026	C057	43.726	0.0461
T0020,T0021	C052	42.926	0.0384
T0005,T0029	C054	40.017	0.4774
T0002,T0015	C018	46.046	0.1322
T0001,T0024	C049	71.042	0.3895
T0012,T0027	C019	36.773	0.4937
T0003,T0018	C032	66.043	0.14
T0006,T0026	C002	41.965	0.3711
T0014,T0025	C018	41.832	0.1336
T0001,T0008	C048	76.034	0.011
T0001,T0028	C016	55.887	0.8577
T0004,T0007	C022	44.594	0.3754
T0014,T0029	C039	40.722	0.5091
T0004,T0016	C043	30.608	0.6039
T0000,T0027	C030	32.992	0.2568
T0016,T0017	C011	65.71	0.3687
T0002,T0022	C054	75.002	0.2584
T0017,T0023	C053	63.028	0.4277
T0006	C010	17.642	0.7403
