task_id_list	courier_id	total_score	willingness
T0037,T0039	C028	52.016	0.582
T0001,T0030	C037	43.219	0.0461
T0018,T0020	C037	57.32	0.2821
T0024,T0037	C036	69.115	0.1372
T0025,T0031	C002	61.894	0.2804
T0005,T0018	C035	60.969	0.1078
T0003,T0022	C037	73.222	0.0619
T0014	C016	47.673	0.4588
T0022,T0025	C036	37.441	0.1089
T0012,T0018	C030	30.178	0.2148
T0021,T0028	C015	81.764	0.5121
T0009,T0031	C017	83.96	0.6177
T0019,T0020	C039	100.0	0.0226
T0007,T0037	C014	87.965	0.4497
T0007,T0037	C019	64.861	0.2837
T0013,T0034	C010	52.728	0.7102
T0037,T0039	C034	54.899	0.2299
T0006,T0037	C026	36.959	0.1636
T0005,T0032	C028	91.119	0.0607
T0000,T0030	C017	72.418	0.0294
T0003,T0015	C016	61.632	0.3469
T0006,T0007	C001	49.105	0.148
T0037	C010	31.872	0.71
T0030	C031	29.666	0.5521
T0005,T0014	C000	76.404	0.2321
T0033,T0036	C001	86.203	0.2027
T0001,T0028	C018	71.52	0.5868
T0016,T0030	C029	40.612	0.7409
T0005,T0008	C016	43.351	0.0597
T0002,T0032	C034	66.297	0.4252
T0013,T0014	C002	68.575	0.0274
T0033	C021	38.497	0.597
T0001,T0039	C010	26.84	0.3822
T0000,T0029	C022	77.168	0.1357
T0004,T0026	C034	57.852	0.728
T0012,T0034	C033	75.312	0.414
T0009,T0018	C028	64.273	0.2074
T0018,T0036	C023	59.434	0.3074
T0014,T0036	C028	62.714	0.3816
T0017,T0031	C010	64.248	0.2138
T0019,T0027	C033	79.11	0.373
T0020,T0027	C037	76.498	0.2905
T0008,T0022	C002	43.875	0.1797
T0008,T0018	C019	55.005	0.1044
T0002,T0023	C029	80.606	0.3147
T0029,T0034	C039	35.842	0.6773
T0008,T0029	C025	31.029	0.307
T0000	C012	28.303	0.9122
T0028,T0032	C039	65.526	0.1808
T0027	C017	40.051	0.5465
T0015,T0020	C030	100.0	0.4066
T0024,T0027	C013	34.01	0.2651
