task_id_list	courier_id	score	willingness
T0037,T0039	C028	52.016000	0.582000
T0001,T0030	C037	43.219000	0.046100
T0018,T0020	C037	57.320000	0.282100
T0024,T0037	C036	69.115000	0.137200
T0025,T0031	C002	61.894000	0.280400
T0005,T0018	C035	60.969000	0.107800
T0003,T0022	C037	73.222000	0.061900
T0014	C016	47.673000	0.458800
T0022,T0025	C036	37.441000	0.108900
T0012,T0018	C030	30.178000	0.214800
T0021,T0028	C015	81.764000	0.512100
T0009,T0031	C017	83.960000	0.617700
T0019,T0020	C039	100.000000	0.022600
T0007,T0037	C014	87.965000	0.449700
T0007,T0037	C019	64.861000	0.283700
T0013,T0034	C010	52.728000	0.710200
T0037,T0039	C034	54.899000	0.229900
T0006,T0037	C026	36.959000	0.163600
T0005,T0032	C028	91.119000	0.060700
T0000,T0030	C017	72.418000	0.029400
T0003,T0015	C016	61.632000	0.346900
T0006,T0007	C001	49.105000	0.148000
T0037	C010	31.872000	0.710000
T0030	C031	29.666000	0.552100
T0005,T0014	C000	76.404000	0.232100
T0033,T0036	C001	86.203000	0.202700
T0001,T0028	C018	71.520000	0.586800
T0016,T0030	C029	40.612000	0.740900
T0005,T0008	C016	43.351000	0.059700
T0002,T0032	C034	66.297000	0.425200
T0013,T0014	C002	68.575000	0.027400
T0033	C021	38.497000	0.597000
T0001,T0039	C010	26.840000	0.382200
T0000,T0029	C022	77.168000	0.135700
T0004,T0026	C034	57.852000	0.728000
T0012,T0034	C033	75.312000	0.414000
T0009,T0018	C028	64.273000	0.207400
T0018,T0036	C023	59.434000	0.307400
T0014,T0036	C028	62.714000	0.381600
T0017,T0031	C010	64.248000	0.213800
T0019,T0027	C033	79.110000	0.373000
T0020,T0027	C037	76.498000	0.290500
T0008,T0022	C002	43.875000	0.179700
T0008,T0018	C019	55.005000	0.104400
T0002,T0023	C029	80.606000	0.314700
T0029,T0034	C039	35.842000	0.677300
T0008,T0029	C025	31.029000	0.307000
T0000	C012	28.303000	0.912200
T0028,T0032	C039	65.526000	0.180800
T0027	C017	40.051000	0.546500
T0015,T0020	C030	100.000000	0.406600
T0024,T0027	C013	34.010000	0.265100
T0007,T0012	C013	52.507000	0.191400
T0001,T0033	C004	47.356000	0.700800
T0015,T0036	C011	18.506000	0.048200
T0005,T0030	C000	37.615000	0.033900
T0009,T0015	C013	64.958000	0.313500
T0000,T0020	C028	28.440000	0.271500
T0003,T0005	C001	36.413000	0.244300
T0007	C006	15.774000	0.217200
T0007,T0019	C030	45.427000	0.091500
T0031,T0035	C037	74.535000	0.357700
T0002,T0006	C033	27.807000	0.010000
T0003	C015	44.406000	0.210700
T0009,T0026	C017	74.202000	0.216200
T0027,T0038	C037	64.160000	0.476700
T0005,T0015	C004	58.645000	0.238900
T0007,T0036	C016	37.888000	0.153500
T0002,T0004	C005	64.604000	0.266500
T0000,T0033	C009	34.340000	0.159100
T0001,T0008	C026	57.447000	0.069900
T0005,T0026	C025	46.457000	0.798600
T0031,T0035	C009	32.534000	0.122800
T0004,T0006	C026	31.354000	0.225700
T0000,T0010	C006	49.211000	0.611700
T0010,T0037	C006	60.135000	0.228800
T0032,T0035	C025	75.754000	0.208500
T0026,T0038	C002	64.622000	0.361600
T0020,T0037	C033	56.253000	0.203500
T0013,T0039	C005	76.457000	0.350800
T0032	C016	13.464000	0.283600
T0011,T0021	C004	27.378000	0.059800
T0005,T0014	C028	76.716000	0.178800
T0020,T0036	C001	63.086000	0.406000
T0015,T0026	C025	63.045000	0.376500
T0024,T0034	C027	52.627000	0.796500
T0030,T0033	C010	32.478000	0.444500
T0005,T0015	C003	20.617000	0.242400
T0008,T0013	C025	50.569000	0.359000
T0011,T0015	C013	72.516000	0.133200
T0022,T0023	C030	88.785000	0.213100
T0024,T0038	C004	26.578000	0.159200
T0037	C031	30.365000	0.864900
T0026,T0027	C010	60.822000	0.128300
T0003,T0017	C033	47.214000	0.115500
T0005,T0016	C024	57.081000	0.085500
T0024,T0034	C025	28.836000	0.094400
T0009,T0034	C016	33.615000	0.284900
T0019,T0026	C004	29.998000	0.155400
T0008,T0027	C038	39.410000	0.467700
T0006,T0022	C030	61.803000	0.290100
T0035,T0039	C003	67.262000	0.088700
T0013,T0037	C028	52.263000	0.790900
T0025,T0033	C014	88.732000	0.195500
T0011,T0012	C003	93.833000	0.572100
T0004,T0028	C000	80.495000	0.143700
T0030,T0036	C019	55.772000	0.299900
T0036,T0038	C028	68.585000	0.426600
T0018,T0032	C003	53.971000	0.211800
T0006,T0013	C037	52.634000	0.206200
T0003,T0033	C000	82.784000	0.016600
T0019,T0039	C029	51.200000	0.151900
T0012,T0036	C002	34.957000	0.236700
T0012,T0029	C029	53.261000	0.212100
T0006,T0023	C012	84.214000	0.268700
T0002,T0007	C005	52.804000	0.244800
T0015,T0032	C014	58.967000	0.119900
T0021,T0028	C022	70.431000	0.388300
T0006,T0027	C027	100.000000	0.417200
T0015,T0022	C037	70.055000	0.087800
T0024,T0029	C012	31.697000	0.038500
T0025,T0038	C031	48.059000	0.107200
T0007,T0014	C002	43.089000	0.121600
T0010,T0021	C026	51.400000	0.405700
T0006,T0009	C020	63.279000	0.071300
T0004,T0039	C037	29.135000	0.058700
T0000,T0021	C017	65.938000	0.089200
T0032	C027	39.505000	0.221000
T0019,T0037	C010	67.241000	0.208500
T0013,T0023	C035	43.187000	0.721200
T0011,T0027	C037	66.191000	0.500500
T0020,T0039	C012	42.379000	0.072800
T0012,T0034	C006	36.541000	0.010000
T0000,T0020	C037	52.684000	0.485700
T0031,T0039	C008	63.384000	0.206100
T0011,T0019	C030	54.121000	0.272400
T0006	C009	42.291000	0.336600
T0008,T0015	C024	77.746000	0.081000
T0025,T0038	C020	77.649000	0.215500
T0008,T0032	C031	92.113000	0.841600
T0021,T0029	C022	83.776000	0.405600
T0003,T0037	C009	43.855000	0.670600
T0016,T0017	C017	76.733000	0.111300
T0012,T0036	C019	72.572000	0.314800
T0012,T0026	C018	97.916000	0.131700
T0020,T0021	C026	67.164000	0.517400
T0011,T0017	C006	100.000000	0.010000
T0015,T0018	C024	63.086000	0.226600
T0016,T0025	C001	88.638000	0.232300
T0033	C002	29.308000	0.260700
T0004,T0005	C013	84.897000	0.125300
T0008,T0018	C005	54.786000	0.663500
T0004,T0030	C035	44.305000	0.224000
T0024,T0036	C017	47.260000	0.822700
T0025,T0036	C007	54.450000	0.143800
T0011,T0028	C003	80.560000	0.290000
T0000,T0023	C009	52.971000	0.734400
T0018,T0038	C025	26.923000	0.093900
T0012,T0037	C020	57.555000	0.400400
T0025,T0029	C005	64.793000	0.284800
